2022-03-22 12:27:04,018 || INFO || Successfully opened files ..\Testing\Large Image.bmp & ..\Testing\Small Image.bmp || LSB_Image
2022-03-22 15:18:42,079 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01010100', '01100101', '01110011'], ['01110100', '01001001', '01101110'], ['01110000', '01110101', '01110100'], ['01110011', '01011100', '01001101'], ['01110101', '01101100', '01110100'], ['01101001', '01000011', '01101111']] || LSB_Image
2022-03-22 15:18:42,079 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-22 15:18:42,081 || INFO || Successfully Wrote New Image to ..\TestOutputs\Test1.bmp || LSB_Image
2022-03-22 15:20:10,943 || INFO || Successfully opened files ..\TestInputs\MultiColour_Large2.bmp & ..\TestInputs\MultiColour_Small2.bmp || LSB_Image
2022-03-22 15:20:11,339 || INFO || Extracting metadata ..\TestInputs\MultiColour_Small2, .bmp || LSB_Image
2022-03-22 15:20:11,339 || INFO || Added Delimiters: ###..\TestInputs\MultiColour_Small2.bmp### || LSB_Image
2022-03-22 15:20:11,340 || INFO || Convert to Binary: 1000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:20:11,340 || INFO || Adding Padding: 001000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:21:49,177 || INFO || Successfully opened files ..\TestInputs\MultiColour_Large2.bmp & ..\TestInputs\MultiColour_Small2.bmp || LSB_Image
2022-03-22 15:21:57,093 || INFO || Extracting metadata ..\TestInputs\MultiColour_Small2, .bmp || LSB_Image
2022-03-22 15:22:05,326 || INFO || Added Delimiters: ###..\TestInputs\MultiColour_Small2.bmp### || LSB_Image
2022-03-22 15:22:35,532 || INFO || Convert to Binary: 1000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:23:01,985 || INFO || Adding Padding: 001000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:26:19,384 || INFO || Successfully opened files ..\TestInputs\MultiColour_Large2.bmp & ..\TestInputs\MultiColour_Small2.bmp || LSB_Image
2022-03-22 15:26:22,668 || INFO || Extracting metadata ..\TestInputs\MultiColour_Small2, .bmp || LSB_Image
2022-03-22 15:26:23,015 || INFO || Added Delimiters: ###..\TestInputs\MultiColour_Small2.bmp### || LSB_Image
2022-03-22 15:26:23,548 || INFO || Convert to Binary: 1000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:26:26,771 || INFO || Adding Padding: 001000110010001100100011001011100010111001011100010101000110010101110011011101000100100101101110011100000111010101110100011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011 || LSB_Image
2022-03-22 15:27:42,350 || INFO || Successfully opened files ..\TestInputs\MultiColour_Large2.bmp & ..\TestInputs\MultiColour_Small2.bmp || LSB_Image
2022-03-22 15:27:43,826 || INFO || Extracting metadata ..\TestInputs\MultiColour_Small2, .bmp || LSB_Image
2022-03-22 15:27:44,203 || INFO || Added Delimiters: ##..\TestInputs\MultiColour_Small2.bmp## || LSB_Image
2022-03-22 15:27:46,569 || INFO || Convert to Binary: 100011001000110010111000101110010111000101010001100101011100110111010001001001011011100111000001110101011101000111001101011100010011010111010101101100011101000110100101000011011011110110110001101111011101010111001001011111010100110110110101100001011011000110110000110010001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 15:27:47,507 || INFO || Adding Padding: 00100011001000110010111000101110010111000101010001100101011100110111010001001001011011100111000001110101011101000111001101011100010011010111010101101100011101000110100101000011011011110110110001101111011101010111001001011111010100110110110101100001011011000110110000110010001011100110001001101101011100000010001100100011 || LSB_Image
2022-03-22 15:29:14,747 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00101110'], ['00101110', '01011100', '01010100'], ['01100101', '01110011', '01110100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '01110011'], ['01011100', '01001101', '01110101'], ['01101100', '01110100', '01101001'], ['01000011', '01101111', '01101100'], ['01101111', '01110101', '01110010'], ['01011111', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['00110010', '00101110', '01100010'], ['01101101', '01110000', '00100011'], ['00100011']] || LSB_Image
2022-03-22 15:29:18,622 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-22 15:41:32,338 || INFO || Successfully Wrote New Image to ..\TestOutputs\Test1.bmp || LSB_Image
2022-03-23 08:09:38,961 || INFO || Successfully opened files ..\Input Files\MultiColour_Large2.bmp & ..\Input Files\MultiColour_Small2.bmp || LSB_Image
2022-03-23 08:09:49,284 || INFO || Extracting metadata ..\Input Files\MultiColour_Small2, .bmp || LSB_Image
2022-03-23 08:10:34,246 || INFO || Successfully opened files ..\Input Files\MultiColour_Large2.bmp & ..\Input Files\MultiColour_Small2.bmp || LSB_Image
2022-03-23 08:10:38,659 || INFO || Extracting metadata ..\Input Files\MultiColour_Small2, .bmp || LSB_Image
2022-03-23 08:10:49,924 || INFO || Added Delimiters: ###..\Input Files\MultiColour_Small2.bmp###2x2### || LSB_Image
2022-03-23 08:11:04,533 || INFO || Convert to Binary: 100011001000110010001100101110001011100101110001001001011011100111000001110101011101000010000001000110011010010110110001100101011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011001100100111100000110010001000110010001100100011 || LSB_Image
2022-03-23 08:11:08,753 || INFO || Adding Padding: 00100011001000110010001100101110001011100101110001001001011011100111000001110101011101000010000001000110011010010110110001100101011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011001100100111100000110010001000110010001100100011 || LSB_Image
2022-03-23 08:11:32,758 || INFO || Successfully opened files ..\Input Files\MultiColour_Large2.bmp & ..\Input Files\MultiColour_Small2.bmp || LSB_Image
2022-03-23 08:11:34,870 || INFO || Extracting metadata ..\Input Files\MultiColour_Small2, .bmp || LSB_Image
2022-03-23 08:11:35,679 || INFO || Added Delimiters: ###..\Input Files\MultiColour_Small2.bmp###2x2### || LSB_Image
2022-03-23 08:12:53,692 || INFO || Convert to Binary: 100011001000110010001100101110001011100101110001001001011011100111000001110101011101000010000001000110011010010110110001100101011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011001100100111100000110010001000110010001100100011 || LSB_Image
2022-03-23 08:12:55,700 || INFO || Adding Padding: 00100011001000110010001100101110001011100101110001001001011011100111000001110101011101000010000001000110011010010110110001100101011100110101110001001101011101010110110001110100011010010100001101101111011011000110111101110101011100100101111101010011011011010110000101101100011011000011001000101110011000100110110101110000001000110010001100100011001100100111100000110010001000110010001100100011 || LSB_Image
2022-03-23 08:14:05,733 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01001101', '01110101', '01101100'], ['01110100', '01101001', '01000011'], ['01101111', '01101100', '01101111'], ['01110101', '01110010', '01011111'], ['01010011', '01101101', '01100001'], ['01101100', '01101100', '00110010'], ['00101110', '01100010', '01101101'], ['01110000', '00100011', '00100011'], ['00100011', '00110010', '01111000'], ['00110010', '00100011', '00100011'], ['00100011']] || LSB_Image
2022-03-23 08:14:06,954 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-23 08:14:27,481 || INFO || Successfully Wrote New Image to ..\Output Files\Test1.bmp || LSB_Image
2022-03-23 18:59:22,786 || INFO || Successfully opened files ..\Input Files\Grey_Scale_Dog_Large_Test1.bmp & ..\Input Files\Coloured_Dog_Small_Test1.bmp || LSB_Image
2022-03-23 18:59:22,787 || INFO || Extracting metadata ..\Input Files\Coloured_Dog_Small_Test1, .bmp || LSB_Image
2022-03-23 18:59:22,787 || INFO || Added Delimiters: ###..\Input Files\Coloured_Dog_Small_Test1.bmp###120x150### || LSB_Image
2022-03-23 18:59:22,787 || INFO || Convert to Binary: 10001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 18:59:22,787 || INFO || Adding Padding: 0010001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 18:59:22,787 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01000011', '01101111', '01101100'], ['01101111', '01110101', '01110010'], ['01100101', '01100100', '01011111'], ['01000100', '01101111', '01100111'], ['01011111', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['01011111', '01010100', '01100101'], ['01110011', '01110100', '00110001'], ['00101110', '01100010', '01101101'], ['01110000', '00100011', '00100011'], ['00100011', '00110001', '00110010'], ['00110000', '01111000', '00110001'], ['00110101', '00110000', '00100011'], ['00100011', '00100011']] || LSB_Image
2022-03-23 18:59:22,787 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-23 18:59:24,383 || INFO || Successfully Wrote New Image to ..\Output Files\DogTest.bmp || LSB_Image
2022-03-23 19:39:50,735 || INFO || Successfully opened files ..\Input Files\Grey_Scale_Dog_Large_Test1.bmp & ..\Input Files\Coloured_Dog_Small_Test1.bmp || LSB_Image
2022-03-23 19:39:50,735 || INFO || Extracting metadata ..\Input Files\Coloured_Dog_Small_Test1, .bmp || LSB_Image
2022-03-23 19:39:50,735 || INFO || Added Delimiters: ###..\Input Files\Coloured_Dog_Small_Test1.bmp###120x150### || LSB_Image
2022-03-23 19:39:50,735 || INFO || Convert to Binary: 10001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:39:50,735 || INFO || Adding Padding: 0010001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:39:50,735 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01000011', '01101111', '01101100'], ['01101111', '01110101', '01110010'], ['01100101', '01100100', '01011111'], ['01000100', '01101111', '01100111'], ['01011111', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['01011111', '01010100', '01100101'], ['01110011', '01110100', '00110001'], ['00101110', '01100010', '01101101'], ['01110000', '00100011', '00100011'], ['00100011', '00110001', '00110010'], ['00110000', '01111000', '00110001'], ['00110101', '00110000', '00100011'], ['00100011', '00100011']] || LSB_Image
2022-03-23 19:39:50,735 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-23 19:39:52,116 || INFO || Successfully Wrote New Image to ..\Output Files\DogTest2.bmp || LSB_Image
2022-03-23 19:40:01,555 || INFO || Successfully opened files ..\Input Files\Grey_Scale_Dog_Large_Test1.bmp & ..\Input Files\Coloured_Dog_Small_Test1.bmp || LSB_Image
2022-03-23 19:40:01,557 || INFO || Extracting metadata ..\Input Files\Coloured_Dog_Small_Test1, .bmp || LSB_Image
2022-03-23 19:40:23,532 || INFO || Added Delimiters: ###..\Input Files\Coloured_Dog_Small_Test1.bmp###120x150### || LSB_Image
2022-03-23 19:40:30,158 || INFO || Convert to Binary: 10001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:40:31,937 || INFO || Adding Padding: 0010001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:41:18,718 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01000011', '01101111', '01101100'], ['01101111', '01110101', '01110010'], ['01100101', '01100100', '01011111'], ['01000100', '01101111', '01100111'], ['01011111', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['01011111', '01010100', '01100101'], ['01110011', '01110100', '00110001'], ['00101110', '01100010', '01101101'], ['01110000', '00100011', '00100011'], ['00100011', '00110001', '00110010'], ['00110000', '01111000', '00110001'], ['00110101', '00110000', '00100011'], ['00100011', '00100011']] || LSB_Image
2022-03-23 19:41:21,848 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-23 19:50:53,637 || INFO || Successfully opened files ..\Input Files\Grey_Scale_Dog_Large_Test1.bmp & ..\Input Files\Coloured_Dog_Small_Test1.bmp || LSB_Image
2022-03-23 19:50:53,639 || INFO || Extracting metadata ..\Input Files\Coloured_Dog_Small_Test1, .bmp || LSB_Image
2022-03-23 19:51:38,016 || INFO || Added Delimiters: ###..\Input Files\Coloured_Dog_Small_Test1.bmp###120x150### || LSB_Image
2022-03-23 19:53:14,188 || INFO || Convert to Binary: 10001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:53:17,033 || INFO || Adding Padding: 0010001100100011001000110010111000101110010111000100100101101110011100000111010101110100001000000100011001101001011011000110010101110011010111000100001101101111011011000110111101110101011100100110010101100100010111110100010001101111011001110101111101010011011011010110000101101100011011000101111101010100011001010111001101110100001100010010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011 || LSB_Image
2022-03-23 19:59:55,498 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01000011', '01101111', '01101100'], ['01101111', '01110101', '01110010'], ['01100101', '01100100', '01011111'], ['01000100', '01101111', '01100111'], ['01011111', '01010011', '01101101'], ['01100001', '01101100', '01101100'], ['01011111', '01010100', '01100101'], ['01110011', '01110100', '00110001'], ['00101110', '01100010', '01101101'], ['01110000', '00100011', '00100011'], ['00100011', '00110001', '00110010'], ['00110000', '01111000', '00110001'], ['00110101', '00110000', '00100011'], ['00100011', '00100011']] || LSB_Image
2022-03-23 20:00:34,006 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-23 20:10:02,597 || INFO || Successfully Wrote New Image to ..\Output Files\DogTest3.bmp || LSB_Image
2022-03-24 08:44:57,812 || INFO || Successfully opened files ..\Input Files\Large_DogTest.bmp & ..\Input Files\Small_DogTest.bmp || LSB_Image
2022-03-24 08:44:57,813 || INFO || Extracting metadata ..\Input Files\Small_DogTest, .bmp || LSB_Image
2022-03-24 08:44:57,813 || INFO || Added Delimiters: ###..\Input Files\Small_DogTest.bmp###120x150###END || LSB_Image
2022-03-24 08:44:57,813 || INFO || Convert to Binary: 1000110010001100100011001011100010111001011100010010010110111001110000011101010111010000100000010001100110100101101100011001010111001101011100010100110110110101100001011011000110110001011111010001000110111101100111010101000110010101110011011101000010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011010001010100111001000100 || LSB_Image
2022-03-24 08:44:57,813 || INFO || Adding Padding: 001000110010001100100011001011100010111001011100010010010110111001110000011101010111010000100000010001100110100101101100011001010111001101011100010100110110110101100001011011000110110001011111010001000110111101100111010101000110010101110011011101000010111001100010011011010111000000100011001000110010001100110001001100100011000001111000001100010011010100110000001000110010001100100011010001010100111001000100 || LSB_Image
2022-03-24 08:44:57,813 || INFO || Final Metadata Extracted: [['00100011', '00100011', '00100011'], ['00101110', '00101110', '01011100'], ['01001001', '01101110', '01110000'], ['01110101', '01110100', '00100000'], ['01000110', '01101001', '01101100'], ['01100101', '01110011', '01011100'], ['01010011', '01101101', '01100001'], ['01101100', '01101100', '01011111'], ['01000100', '01101111', '01100111'], ['01010100', '01100101', '01110011'], ['01110100', '00101110', '01100010'], ['01101101', '01110000', '00100011'], ['00100011', '00100011', '00110001'], ['00110010', '00110000', '01111000'], ['00110001', '00110101', '00110000'], ['00100011', '00100011', '00100011'], ['01000101', '01001110', '01000100']] || LSB_Image
2022-03-24 08:44:57,813 || INFO || Successfully Created Stego Object || LSB_Image
2022-03-24 08:44:59,168 || INFO || Successfully Wrote New Image to ..\Output Files\DogTest.bmp || LSB_Image
